Brand,Device,Manufacturer,Model Name,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions,Install base,User-perceived ANR rate,User-perceived crash rate,Excessive battery usage (watch face)
Mecool,KHH,Mecool,MEgo1 4K,2003MB,TV,Realtek RTD1325,ARM Mali G57 (650 MHz),1080x1920,320,armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
Prestigio,LS70A5G,Prestigio,PMT1177_3G,994MB,Tablet,Mediatek MT8321,,720x1280,160,armeabi;armeabi-v7a,24,2.0,0,0.00%,0.00%,0.00%
BLU,A390,Blu,ADVANCE L5,471MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),480x800,240,armeabi;armeabi-v7a,27,3.2,0,0.00%,0.00%,0.00%
OUKITEL,C58,Oukitel,C58_EEA,4000MB,Phone,Spreadtrum T606,ARM Mali G57 (650 MHz),720x1600,320,arm64-v8a;armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
OPPO,OP573DL1,Oppo,A79 5G,3776-12217MB,Phone,Mediatek MT6833,2x ARM Mali G57 (950 MHz),1080x2400,480,arm64-v8a;armeabi;armeabi-v7a,33;34;35,3.2,0,0.00%,0.00%,0.00%
SKYDevices,Elite_A63_D_Max_D,Sky Devices,Elite A63Max,1970MB,Phone,Mediatek MT6739,Imagination Tech PowerVR GE8100 (450 MHz),720x1520,280,armeabi;armeabi-v7a,33,3.2,0,0.00%,0.00%,0.00%
samsung,klimtwifikx,Samsung,Galaxy TabS 8.4,2908MB,Tablet,Samsung Exynos 5420,ARM Mali T628 (533 MHz),1600x2560,320,armeabi;armeabi-v7a,23,3.0,0,0.00%,0.00%,0.00%
EPIKONE,K503,EPIKONE,k503,948MB,Phone,Spreadtrum SC7731E,ARM Mali T820 (600 MHz),480x854,240,armeabi;armeabi-v7a,27,3.2,0,0.00%,0.00%,0.00%
DOOGEE,t777_dg_m1_65_n,Doogee,S60 Lite,3997MB,Phone,Mediatek MT6750T,ARM Mali T860 (650 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,24,3.2,0,0.00%,0.00%,0.00%
FIGO,Telecell,Figo,Fierce_L5510,1959MB,Phone,Mediatek MT6761,Imagination Tech PowerVR GE8300 (660 MHz),480x960,180,armeabi;armeabi-v7a,34,3.2,0,0.00%,0.00%,0.00%
